,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp
0,107,5,0,0,14,0,True,True,True,2020-03-10 14:22:46+00:00
1,190,1,0,1,35,0,True,True,True,2020-03-10 14:11:01+00:00
2,3,5,0,0,10,0,True,True,True,2020-03-10 13:58:23+00:00
3,4,5,0,0,14,0,True,True,True,2020-03-10 14:08:23+00:00
5,6,13,0,0,2,0,True,True,True,2020-03-10 14:18:10+00:00
6,7,15,0,0,0,0,True,True,True,2020-03-10 12:54:00+00:00
7,8,7,0,1,11,0,True,True,True,2020-03-10 14:23:30+00:00
8,9,12,0,0,3,0,True,True,True,2020-03-10 13:53:38+00:00
9,10,5,0,2,4,0,True,True,True,2020-03-10 14:04:57+00:00
10,11,15,0,0,0,0,True,True,True,2020-03-10 13:12:26+00:00
11,12,18,0,0,0,0,True,True,True,2020-03-10 14:20:05+00:00
13,14,15,0,1,9,0,True,True,True,2020-03-10 14:23:52+00:00
14,15,9,0,1,5,0,True,True,True,2020-03-10 13:21:32+00:00
15,16,8,0,0,11,0,True,True,True,2020-03-10 14:07:36+00:00
16,17,3,0,0,12,0,True,True,True,2020-03-10 14:16:54+00:00
17,19,13,0,2,0,0,True,True,True,2020-03-10 13:56:28+00:00
18,20,2,0,0,21,0,True,True,True,2020-03-10 13:15:59+00:00
19,21,17,0,0,1,0,True,True,True,2020-03-10 14:22:29+00:00
20,22,37,0,0,10,0,True,True,True,2020-03-10 14:13:16+00:00
21,23,19,0,1,1,0,True,True,True,2020-03-10 14:15:11+00:00
22,24,11,0,2,6,0,True,True,True,2020-03-10 14:16:38+00:00
23,25,0,0,2,13,0,True,True,True,2020-03-10 13:53:29+00:00
24,26,4,0,1,10,0,True,True,True,2020-03-10 14:15:59+00:00
25,27,1,0,1,21,0,True,True,True,2020-03-10 13:53:18+00:00
26,29,5,0,0,10,0,True,True,True,2020-03-10 13:49:05+00:00
27,30,5,0,0,10,0,True,True,True,2020-03-10 13:40:28+00:00
28,31,12,0,0,7,0,True,True,True,2020-03-10 13:24:28+00:00
30,33,5,0,0,22,0,True,True,True,2020-03-10 14:21:10+00:00
31,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00
32,36,22,0,1,10,0,True,True,True,2020-03-10 14:07:57+00:00
33,37,11,0,0,4,0,True,True,True,2020-03-10 14:13:37+00:00
34,39,11,0,1,11,0,True,True,True,2020-03-10 14:13:58+00:00
35,40,8,0,2,9,0,True,True,True,2020-03-10 14:24:21+00:00
36,41,8,0,2,17,0,True,True,True,2020-03-10 14:20:24+00:00
37,42,21,0,0,2,0,True,True,True,2020-03-10 14:04:33+00:00
38,43,7,0,1,7,0,True,True,True,2020-03-10 13:53:09+00:00
39,44,23,0,0,0,0,True,True,True,2020-03-10 13:48:49+00:00
40,46,18,0,0,1,0,True,True,True,2020-03-10 14:21:21+00:00
41,47,4,0,0,15,0,True,True,True,2020-03-10 14:07:07+00:00
42,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00
43,49,15,0,0,3,0,True,True,True,2020-03-10 13:41:08+00:00
45,51,6,0,0,9,0,True,True,True,2020-03-10 13:47:22+00:00
47,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00
48,54,15,0,0,0,0,True,True,True,2020-03-10 14:08:16+00:00
50,56,2,0,0,16,0,True,True,True,2020-03-10 14:11:15+00:00
51,57,1,0,0,13,0,True,True,True,2020-03-10 14:18:22+00:00
52,58,16,0,0,3,0,True,True,True,2020-03-10 14:08:07+00:00
53,59,18,0,1,0,0,True,True,True,2020-03-10 14:22:59+00:00
54,60,13,0,1,5,0,True,True,True,2020-03-10 14:24:35+00:00
55,61,0,0,0,3,0,False,False,False,2020-03-04 20:12:26+00:00
56,63,15,0,0,0,0,True,True,True,2020-03-10 12:06:57+00:00
58,65,5,0,1,17,0,True,True,True,2020-03-10 12:05:48+00:00
59,66,8,0,0,7,0,True,True,True,2020-03-10 14:01:26+00:00
60,67,24,0,0,3,0,True,True,True,2020-03-10 14:24:50+00:00
61,68,1,0,0,18,0,True,True,True,2020-03-10 14:07:58+00:00
62,69,3,0,1,15,0,True,True,True,2020-03-10 14:22:53+00:00
63,70,18,0,1,4,0,True,True,True,2020-03-10 14:19:08+00:00
64,71,6,0,1,16,0,True,True,True,2020-03-10 14:15:49+00:00
65,72,19,0,1,3,0,True,True,True,2020-03-10 14:22:09+00:00
66,73,10,0,1,4,0,True,True,True,2020-03-10 14:12:58+00:00
67,74,15,0,0,4,0,True,True,True,2020-03-10 14:22:24+00:00
68,75,0,0,1,14,0,True,True,True,2020-03-10 14:21:41+00:00
69,76,4,0,0,13,0,True,True,True,2020-03-10 14:18:12+00:00
70,77,0,0,0,15,0,True,True,True,2020-03-10 13:35:57+00:00
71,78,5,0,2,12,0,True,True,True,2020-03-10 14:06:16+00:00
73,80,35,0,0,0,0,True,True,True,2020-03-10 13:37:05+00:00
74,81,11,0,8,0,0,True,True,True,2020-03-10 01:09:06+00:00
75,82,4,0,0,11,0,True,True,True,2020-03-10 14:24:37+00:00
76,84,10,0,1,4,0,True,True,True,2020-03-10 13:33:59+00:00
77,85,17,0,0,2,0,True,True,True,2020-03-10 13:46:51+00:00
78,86,10,0,0,9,0,True,True,True,2020-03-10 14:01:37+00:00
79,87,0,0,0,15,0,True,True,True,2020-03-10 13:13:38+00:00
80,89,2,0,0,17,0,True,True,True,2020-03-10 14:20:50+00:00
81,90,5,0,0,14,0,True,True,True,2020-03-10 14:25:13+00:00
82,91,1,0,0,18,0,True,True,True,2020-03-10 14:23:25+00:00
83,92,7,0,0,12,0,True,True,True,2020-03-10 13:16:39+00:00
84,93,11,0,0,4,0,True,True,True,2020-03-10 13:33:56+00:00
85,94,0,0,0,11,0,True,True,True,2020-03-10 12:33:41+00:00
86,95,3,0,0,12,0,True,True,True,2020-03-10 14:24:13+00:00
87,96,3,0,1,15,0,True,True,True,2020-03-10 14:24:18+00:00
88,97,1,0,1,17,0,True,True,True,2020-03-10 14:21:08+00:00
89,98,13,0,0,10,0,True,True,True,2020-03-10 14:19:49+00:00
90,99,5,0,0,10,0,True,True,True,2020-03-10 13:45:44+00:00
91,100,10,0,0,15,0,True,True,True,2020-03-10 14:20:57+00:00
