,station_id,num_ebikes_available,is_installed,num_docks_disabled,is_returning,num_bikes_disabled,num_bikes_available,eightd_has_available_keys,num_docks_available,last_reported,station_status,legacy_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,0,True,0,True,0,14,True,1,2020-08-04 18:09:16+00:00,active,3,True,,,2020-08-04 18:23:40,2020
1,4,0,True,0,True,1,6,False,12,2020-08-04 17:42:48+00:00,active,4,True,,,2020-08-04 18:23:40,2020
2,5,0,True,0,True,0,5,False,10,2020-08-04 18:11:40+00:00,active,5,True,,,2020-08-04 18:23:40,2020
3,6,0,True,0,True,1,12,False,2,2020-08-04 18:13:53+00:00,active,6,True,,,2020-08-04 18:23:40,2020
4,7,0,True,0,True,0,13,False,2,2020-08-04 17:58:12+00:00,active,7,True,,,2020-08-04 18:23:40,2020
5,8,0,True,0,True,0,0,False,19,2020-08-04 17:54:24+00:00,active,8,True,,,2020-08-04 18:23:40,2020
6,9,0,True,0,True,0,9,False,6,2020-08-04 18:21:07+00:00,active,9,True,,,2020-08-04 18:23:40,2020
7,10,0,True,0,True,1,10,False,0,2020-08-04 18:14:26+00:00,active,10,True,,,2020-08-04 18:23:40,2020
8,11,0,True,0,True,0,14,False,1,2020-08-04 18:13:48+00:00,active,11,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 77, 'active': True, 'off_dock_capacity': 50, 'region': 'BOS', 'off_dock_count': 56, 'dock_blocked_count': 0}",2020-08-04 18:23:40,2020
9,12,0,True,0,True,0,3,True,15,2020-08-04 18:14:14+00:00,active,12,True,,,2020-08-04 18:23:40,2020
10,13,0,True,0,True,0,15,False,4,2020-08-04 17:51:35+00:00,active,13,True,,,2020-08-04 18:23:40,2020
11,14,0,True,0,True,1,21,False,3,2020-08-04 18:15:08+00:00,active,14,True,,,2020-08-04 18:23:40,2020
12,15,0,True,0,True,0,9,False,6,2020-08-04 16:45:29+00:00,active,15,True,,,2020-08-04 18:23:40,2020
13,16,0,True,0,True,0,8,True,11,2020-08-04 18:08:59+00:00,active,16,True,,,2020-08-04 18:23:40,2020
14,17,0,True,0,True,2,2,False,11,2020-08-04 17:21:26+00:00,active,17,True,,,2020-08-04 18:23:40,2020
15,19,0,True,1,True,2,9,False,3,2020-08-04 17:06:30+00:00,active,19,True,,,2020-08-04 18:23:40,2020
16,20,0,True,0,True,1,5,True,17,2020-08-04 15:56:07+00:00,active,20,True,,,2020-08-04 18:23:40,2020
17,21,0,True,0,True,0,0,True,18,2020-08-04 18:20:12+00:00,active,21,True,,,2020-08-04 18:23:40,2020
18,22,0,True,0,True,0,9,True,38,2020-08-04 18:04:51+00:00,active,22,True,,,2020-08-04 18:23:40,2020
19,23,0,True,0,True,1,14,True,6,2020-08-04 18:10:44+00:00,active,23,True,,,2020-08-04 18:23:40,2020
20,24,0,True,0,True,1,5,False,13,2020-08-04 18:23:02+00:00,active,24,True,,,2020-08-04 18:23:40,2020
21,25,0,True,0,True,0,3,False,12,2020-08-04 18:20:20+00:00,active,25,True,,,2020-08-04 18:23:40,2020
22,26,0,True,0,True,1,1,False,13,2020-08-04 17:15:25+00:00,active,26,True,,,2020-08-04 18:23:40,2020
23,27,0,True,0,True,0,8,False,15,2020-08-04 18:17:04+00:00,active,27,True,,,2020-08-04 18:23:40,2020
24,29,0,True,0,True,0,9,False,6,2020-08-04 17:56:29+00:00,active,29,True,,,2020-08-04 18:23:40,2020
25,30,0,True,0,True,3,4,False,8,2020-08-04 17:56:07+00:00,active,30,True,,,2020-08-04 18:23:40,2020
26,31,0,True,0,True,0,2,True,17,2020-08-04 16:51:30+00:00,active,31,True,,,2020-08-04 18:23:40,2020
27,32,0,True,0,True,0,4,False,11,2020-08-04 18:04:21+00:00,active,32,True,,,2020-08-04 18:23:40,2020
28,33,0,True,0,True,1,4,False,22,2020-08-04 18:04:10+00:00,active,33,True,,,2020-08-04 18:23:40,2020
29,35,0,True,0,True,0,17,False,6,2020-08-04 18:11:31+00:00,active,35,True,,,2020-08-04 18:23:40,2020
30,36,0,True,0,True,0,9,True,24,2020-08-04 18:11:22+00:00,active,36,True,,,2020-08-04 18:23:40,2020
31,37,0,True,0,True,0,9,True,6,2020-08-04 16:11:26+00:00,active,37,True,,,2020-08-04 18:23:40,2020
32,39,0,True,0,True,1,8,False,14,2020-08-04 17:55:52+00:00,active,39,True,,,2020-08-04 18:23:40,2020
33,40,0,True,0,True,2,4,False,13,2020-08-04 18:05:14+00:00,active,40,True,,,2020-08-04 18:23:40,2020
34,41,0,True,0,True,2,7,True,18,2020-08-04 18:23:29+00:00,active,41,True,,,2020-08-04 18:23:40,2020
35,42,0,True,0,True,1,13,False,9,2020-08-04 18:12:47+00:00,active,42,True,,,2020-08-04 18:23:40,2020
36,43,0,True,0,True,0,11,True,4,2020-08-04 18:17:48+00:00,active,43,True,,,2020-08-04 18:23:40,2020
37,44,0,True,0,True,1,13,False,9,2020-08-04 18:21:52+00:00,active,44,True,,,2020-08-04 18:23:40,2020
38,46,0,True,0,True,0,9,False,10,2020-08-04 18:22:31+00:00,active,46,True,,,2020-08-04 18:23:40,2020
39,47,0,True,0,True,0,8,True,11,2020-08-04 18:18:29+00:00,active,47,True,,,2020-08-04 18:23:40,2020
40,48,0,True,0,True,0,4,False,15,2020-08-04 17:54:08+00:00,active,48,True,,,2020-08-04 18:23:40,2020
